series_id,series_name,hit,imdb
256434,اشرف رویا,0,6.7
264400,هتل تسخیر شده,0,7.7
264532,قصه های ترسناک هالووینی,0,None
264622,واقعیه یا کیکه؟! ویژه هالووین,0,6.4
264736,جاده‌ پایین گورستان,0,7.2
248804,افسانه بانو اوک,82,8
264477,تسخیر واقعی,0,6.1
259592,انتخاب غیر طبیعی,78,7.8
257502,آن:‌ به دری خوش آمدید,88,8
264578,تالاماسکا: فرقه مخفی,81,6.4
260416,غسال,75,8.1
260492,مرد خوب,86,7
264245,شیطان در لباس مبدل: جان وین گیسی,70,7.3
264256,آقای اسکورسیزی,78,8.6
260301,گناه نخستین تاکوپی,85,8.8
262445,من با قانون در افتادم,0,7.6
264192,مردا: مرگ در خانواده,0,7.1
261480,مکاماتو,80,7
249708,کارل مجموعه دار,0,8.6
253216,مورو! گلزن برتر,0,7.8
263322,چد پاورز,0,7.4
264043,میزان,0,None
263741,آخرین سنگر,91,7.2
250931,دایناسورهای رنگی رنگی,0,7.6
260585,فیلم ما,80,8.9
262978,تد باندی: گفتگو با شیطان,0,6.7
260108,زندگی پست,0,6.7
257993,کتابداران: فصل بعدی,0,6.2
258584,عمر دوباره,65,6.8
257111,مدرسه قهرمانانه من: خودسرها,85,7.5
263508,هیولا: داستان اد گین,83,7.8
260830,قتل های ماست فروشی,0,6.2
255470,لازاروس,89,7
259221,وحشی ها,0,7.3
257380,بیمه طلاق,92,6.8
263136,دانش آموزها به پیش,71,6.5
255339,شوالیه در محوطه,0,6.8
262819,دستگیری قاتلشان: دختران روی پل مرتفع,0,6.5
263457,ازازیل (ویژه ناشنوایان),0,None
248583,برد یا باخت,91,8
256707,شرلوک و دخترش,95,6.5
263442,غربت (ویژه ناشنوایان),0,None
259581,شبی در آیداهو: قتل های کالج,0,7.1
261850,در پرواز,0,6.4
257889,نه پازل,86,7.7
262919,پشت پرده,0,7.7
258585,شمارش معکوس,0,6.9
262950,خاندان گینس,87,7.4
262643,هفت خرس,82,5.4
262990,زامبی های مارول,84,7.1
262960,تابستانی که هیکارو مرد,86,8.1
257573,باکوگان,84,6.3
258748,راهنمای رزیدنتی,92,8.1
259557,بله آقای نخست وزیر,0,8.6
259141,اسرار بیماری ذهنی,0,7.7
260633,کاستی ها,0,7.4
262656,خرگوش سیاه,80,7.8
260364,مکالمه با یک قاتل: نوارهای پسر سم,0,6.7
262671,پناهگاه میلیاردرها,91,5.1
258945,خراج ها,0,6.9
262256,مهارت آباد,71,7
258482,دود,0,6.7
255827,ویدای دامپزشک,82,6.7
256301,مسافر ابدیت,86,7.8
258908,قصه های جزیره,98,8.5
261786,گروگان,0,6.5
260010,محافظان واکاندا,78,6.3
260099,ملودی و کرومی من,86,8.5
259259,سرطان: امپراتور همه بیماری ها,0,8.4
259395,بازگشت شرلوک هولمز,90,8.7
259817,کاتالوگ,0,7.7
262334,وظیفه,87,8
259074,موسیقی متن فیلم مربی اژدها,0,8.1
262204,خودرو بانک,87,None
262143,روزنامه,0,6.9
255389,فیلم ملودرام,84,7.3
259213,رازهای خویشاوندی,0,7
258664,شکارچی با تیغ جراحی,88,8.5
259157,پوآرو,93,8.6
260685,طوفان کاترینا: مبارزه علیه زمان,0,7.9
259804,با مرد آهنی و دوستان بی نظیرش آشنا شوید,61,6.8
259198,موسیقی متن سریال روز شغال,0,8.1
120093,هجوم,91,6.2
256156,بدون سود بدون عشق,91,7.5
258427,اوه موکلان روحی من,93,7.3
259919,افعی سیاه ۳,84,8.6
259877,کابل,83,7.3
260001,حیاتی: بین زندگی و مرگ,0,8.2
259465,موسیقی متن فیلم بالرینا,0,7.1
261058,با طعم و سلیقه تو,92,7.9
259486,تا ابد در بهشت,83,7.3
259461,موسیقی متن فیلم صاعقه ها,0,7.3
260051,ایمی بردلی گم شده است,0,6.7
258994,موسیقی متن فیلم نگهبانان قدیمی ۲,0,5.1
258520,کوکائین در آسمان: قاچاقچی ها در ارتفاع ۳۰۰۰۰ فوتی,0,6.5
260570,نوار کاست,0,7.6
260605,پروانه,91,6.8
257019,قصر تسخیر شده,93,7.8
259622,بیگانه: زمین,82,7.6
256566,پادشاه گرگ ها,84,6.6
258605,اودیسه,81,7
260299,غریبه: هم خون من,93,8.3
260390,راه و روش آقای بوک,86,7
255180,آینده زمین,0,7.5
258768,دره مرگ,0,6.9
259509,راه رفتن با دایناسورها,0,5.9
253458,زندان آز,0,8.7
256592,جادوگر,80,7.1
258471,اسکله,0,7
258684,غذاخوری هو,92,6.5
259932,آدمکش,88,6.3
259971,ماشه,87,7.2
258158,سارا: زنی در سایه ها,0,6.2
259840,ماجراهای مورچه فافا,77,None
258174,حرکات قدرتی با شکیل اونیل,0,6.8
258187,جنگ ستارگان: روایت هایی از دنیای زیرین,0,7.1
250902,وقتی ستاره ها نجوا می کنند,77,6.5
253074,روزهای گردش سگ ها,68,6
258650,متصدی کفن و دفن,0,7.1
259453,بی وقفه,90,7.2
258341,پرونده قدیمی: قتل های تایلنول,0,6.5
251155,ساحل کانگورو,61,7.3
258997,آزمایشگاه,81,6.8
259667,واشینگتن سیاهپوست ها,0,6.2
259517,شب زنده داری گربه های زنده,81,6.5
253330,سووشون,93,None
253862,گلدی,72,8
258612,جعبه تخیل,61,7.9
256033,دایره المعارف استانبول,77,6.9
258847,بالارد,89,7.6
258048,دکستر: رستاخیز,92,9.2
257948,یونیکورن دیوانه,82,8.5
256364,ربات‌ های جنگجوی گاندام: جی کوااااااکس,88,7
258066,بمب‌ گذاری هواپیمای پان آم ۱۰۳,0,7.4
257584,زیر دریایی,79,8.8
257170,راه طولانی خانه,0,8.1
257760,خواهر بهتر,74,7
257137,مظنون: تیراندازی به ژان چارلز دومنزس ,0,7.7
256941,من، جک رایت,0,7.1
258133,پیمان سکوت,0,7
257131,اختاپوس,0,7.3
256468,کبوتر تنها,0,8.7
256643,ال تورکو,76,5.8
257774,دپارتمان کیو,93,8.2
258499,مسافرخانه جهنمی,79,5.5
257716,یک داستان مخوف بریتانیایی: فرد و رز وست,82,6.6
257682,تعقیب آمریکایی: اسامه بن لادن,82,7.7
258141,کوسه: طوفان,86,7.2
256930,افعی سیاه ۲,70,8.6
258045,عشق ماشین ها,79,7.6
258100,ارنهارت,0,8.8
258195,یکه تاز: قهرمانان دبیرستان,90,8
256089,افعی سیاه,86,8
255233,شغل جدید بلیپی,69,5.7
254223,توئین پیکس,83,8.7
258365,بازماندگان,82,6.6
256695,ابر مکعب,91,7.1
255969,پناهگاه امن,0,6.4
256783,میز سرآشپز: سرآشپزهای افسانه ای,91,7.4
255715,دختر ربوده شده,80,6.4
255118,دشمن عزیز من,90,8
256394,دیوید بلین: امتحانش نکن,85,7.8
257273,پری های دریایی تک شاخ,80,8.2
258107,چوب گلف,86,7.1
253343,قاره آمریکا,96,8.3
255069,شیطان هم می گرید,95,7.6
256055,طلوع ماه,80,6.7
255304,قلب های مدفون,91,7.6
256001,سرقت الماس,0,7
257047,ربات قاتل,86,7.4
256974,داستر,78,7.3
254923,نبض,82,6.4
254616,وقتی زندگی بهت نارنگی میده,96,9.1
256193,آستریکس و اوبلیکس: مبارزه بزرگ,95,8
256016,گنبد شیشه ای,80,6.7
254704,وقتی هیچ کس ما را نمی بیند,0,6.1
255120,باغبان,82,6.1
251191,شکوفه شانگهای,0,8.1
257246,سرزمین شنی,87,7.6
253200,شجاع ترین شوالیه,56,6.1
255256,کوتلاس,86,8.8
255013,کارما,88,7.5
254908,این شهر مال ماست,84,8
254696,حیوانات، کاملا شبیه ما هستند,86,7.3
251378,روزگار ساکاموتو,94,7.4
257156,رابل و دوستان,84,4.6
254850,آجر خرسی,64,7.6
254993,وثیقه دار,64,7
256050,اسرار پنگوئن ها,0,7.6
252031,گروه شکار,89,6.6
252458,خل و چل های عشق هیولا,92,7.7
256317,دورا جستجوگر,74,4.4
255254,چهره خندان,82,6.5
251112,چاله,94,8.9
253851,کاموی طلایی: شکار زندانیان در هوکایدو,0,6.9
254612,خانواده خوب آمریکایی,89,6.5
254167,رویاپردازان,0,7.8
252660,سلول ۲۱۱,71,6
220547,ژن وی,88,7.7
256235,آینه سیاه,82,8.7
251434,سن پیر,0,6.9
253507,عوارض جانبی شایع,80,8.6
254197,زوکی از سیاره روبی,82,8
253697,آنتونی پوروسکی: هیچی مزه خونه رو نمیده,82,7.5
246136,خانواده انتخابی,97,8.2
253787,ویردی,65,6.5
255698,ملکه تاج گذار,86,7.8
255655,ماجراجویی های دیلن در وقت بازی,67,8.1
28471,ماجراجویی در پاریس,90,7.5
104493,جادو رو اضافه کن: شهر اسرارآمیز,93,7.3
197619,پونی کوچولوی من: خودی نشان بده,91,6.0
86441,ریک و مورتی,94,9
16944,آبشار جاذبه,95,8.9
255517,قتل های اوره,90,6.7
255218,چاقوی بی قرار,79,7.5
251859,سقوط کرده,73,6.6
250137,موسیقی متن فیلم افسونگر شرور: سردسته اهریمنان,0,6.6
252190,سیاره عجیب,0,None
253304,پلیس خوب پلیس بد,76,6.8
255374,مسیری باریک به ژرفای شمال,67,7.2
